game,event,timestamp,confidence,video
bf2,main_menu,00:05:29:20,0.9997,2025-06-29 15-30-23
bf2,ag,00:05:36:20,0.9999,2025-06-29 15-30-23
bf2,loadout,00:05:51:00,0.8703,2025-06-29 15-30-23
bf2,spawn_troop,00:05:54:28,0.9994000196456909,2025-06-29 15-30-23
bf2,sniper,00:05:54:29,0.9942,2025-06-29 15-30-23
bf2,kill_brc,00:06:27:10,0.9779000282287598,2025-06-29 15-30-23
bf2,kill_brc,00:06:29:05,0.9789999723434448,2025-06-29 15-30-23
bf2,kill_brc,00:06:32:03,0.9775999784469604,2025-06-29 15-30-23
bf2,kill_sgt,00:06:39:20,0.9987000226974487,2025-06-29 15-30-23
bf2,kill_sgt,00:06:42:01,0.9991000294685364,2025-06-29 15-30-23
bf2,kill_sgt,00:06:45:02,0.9990000128746033,2025-06-29 15-30-23
bf2,loadout,00:06:58:00,0.8745,2025-06-29 15-30-23
bf2,spawn_troop,00:07:02:06,0.9994000196456909,2025-06-29 15-30-23
bf2,sniper,00:07:02:08,0.9947,2025-06-29 15-30-23
bf2,kill_brc,00:07:10:25,0.9787999987602234,2025-06-29 15-30-23
bf2,kill_brc,00:07:16:08,0.9772999882698059,2025-06-29 15-30-23
bf2,kill_brc,00:07:28:18,0.9782000184059143,2025-06-29 15-30-23
bf2,kill_sgt,00:07:29:16,0.9936000108718872,2025-06-29 15-30-23
bf2,kill_sgt,00:07:31:27,0.9991000294685364,2025-06-29 15-30-23
bf2,kill_sgt,00:07:36:00,0.9988999962806702,2025-06-29 15-30-23
bf2,kill_brc,00:08:03:21,0.9764000177383423,2025-06-29 15-30-23
bf2,kill_sgt,00:08:19:06,0.9951000213623047,2025-06-29 15-30-23
bf2,kill_sgt,00:08:21:17,0.9991999864578247,2025-06-29 15-30-23
bf2,kill_sgt,00:08:23:28,0.9976999759674072,2025-06-29 15-30-23
bf2,loadout,00:09:05:20,0.8285,2025-06-29 15-30-23
bf2,spawn_troop,00:09:12:15,0.9993000030517578,2025-06-29 15-30-23
bf2,hero,00:09:12:16,0.9989,2025-06-29 15-30-23
bf2,kill_brc,00:09:28:20,0.9703999757766724,2025-06-29 15-30-23
bf2,kill_brc,00:09:30:15,0.9707000255584717,2025-06-29 15-30-23
bf2,kill_sgt,00:09:32:21,0.9940999746322632,2025-06-29 15-30-23
bf2,kill_sgt,00:09:35:09,0.9980000257492065,2025-06-29 15-30-23
bf2,kill_brc,00:10:09:07,0.9732000231742859,2025-06-29 15-30-23
bf2,kill_sgt,00:10:09:22,0.9954000115394592,2025-06-29 15-30-23
bf2,kill_sgt,00:11:08:23,0.9901000261306763,2025-06-29 15-30-23
bf2,kill_sgt,00:11:11:08,0.995199978351593,2025-06-29 15-30-23
bf2,kill_sgt,00:11:26:24,0.9959999918937683,2025-06-29 15-30-23
