game,event,timestamp,confidence,video
bf2,main_menu,00:00:02:00,1.0,Jakku
bf2,ag,00:00:36:20,1.0,Jakku
bf2,loadout,00:00:50:00,0.917,Jakku
bf2,game_menu,00:01:20:15,1.0,Jakku
bf2,spawn_troop,00:01:32:14,0.9909999966621399,Jakku
bf2,sniper,00:01:32:15,0.993,Jakku
bf2,kill_brc,00:01:51:04,0.9789999723434448,Jakku
bf2,kill_brc,00:01:53:29,0.9789999723434448,Jakku
bf2,kill_sgt,00:01:56:21,0.9909999966621399,Jakku
bf2,kill_sgt,00:01:59:02,0.9980000257492065,Jakku
bf2,kill_brc,00:02:03:26,0.9800000190734863,Jakku
bf2,kill_sgt,00:02:06:01,0.996999979019165,Jakku
bf2,kill_brc,00:02:18:28,0.9800000190734863,Jakku
bf2,kill_sgt,00:02:24:24,0.9980000257492065,Jakku
bf2,kill_sgt,00:02:27:05,0.996999979019165,Jakku
bf2,kill_brc,00:02:31:24,0.9769999980926514,Jakku
bf2,kill_brc,00:02:33:28,0.9769999980926514,Jakku
bf2,kill_brc,00:02:38:05,0.9810000061988831,Jakku
bf2,kill_sgt,00:03:02:26,0.9980000257492065,Jakku
bf2,kill_brc,00:03:02:29,0.9779999852180481,Jakku
bf2,kill_sgt,00:03:08:26,0.9919999837875366,Jakku
bf2,kill_brc,00:03:17:21,0.9800000190734863,Jakku
bf2,kill_sgt,00:03:19:18,0.996999979019165,Jakku
bf2,kill_sgt,00:03:21:29,0.9980000257492065,Jakku
bf2,scoreboard,00:03:22:19,1.0,Jakku
bf2,kill_sgt,00:03:26:25,0.9980000257492065,Jakku
bf2,kill_sgt,00:03:29:06,0.996999979019165,Jakku
bf2,kill_sgt,00:03:31:17,0.996999979019165,Jakku
bf2,kill_sgt,00:03:33:28,0.996999979019165,Jakku
bf2,kill_brc,00:04:02:03,0.9850000143051147,Jakku
bf2,kill_sgt,00:04:04:01,0.9940000176429749,Jakku
bf2,kill_sgt,00:04:13:10,0.9990000128746033,Jakku
bf2,kill_sgt,00:04:15:21,0.9940000176429749,Jakku
bf2,kill_brc,00:04:22:27,0.984000027179718,Jakku
